Name,Full Name,URL,Private,Language,Stars,Forks,Created At
ai-learning-journey,sowmi-kasthuri/ai-learning-journey,https://github.com/sowmi-kasthuri/ai-learning-journey,False,Python,1,0,2025-10-14T05:18:25Z
DevOps_Vagrant_Centos7,sowmi-kasthuri/DevOps_Vagrant_Centos7,https://github.com/sowmi-kasthuri/DevOps_Vagrant_Centos7,True,Ruby,0,0,2020-08-02T02:07:09Z
DO180-apps,sowmi-kasthuri/DO180-apps,https://github.com/sowmi-kasthuri/DO180-apps,False,,1,0,2021-06-07T04:51:57Z
DO288-apps,sowmi-kasthuri/DO288-apps,https://github.com/sowmi-kasthuri/DO288-apps,False,,1,0,2021-06-08T05:19:20Z
GitHub_Copilot,sowmi-kasthuri/GitHub_Copilot,https://github.com/sowmi-kasthuri/GitHub_Copilot,False,JavaScript,0,0,2025-10-09T15:02:48Z
k8s-project,sowmi-kasthuri/k8s-project,https://github.com/sowmi-kasthuri/k8s-project,False,,0,1,2020-10-15T04:09:26Z
k8s-project-1,sowmi-kasthuri/k8s-project-1,https://github.com/sowmi-kasthuri/k8s-project-1,False,,0,0,2020-10-15T05:49:19Z
my_first_repo,sowmi-kasthuri/my_first_repo,https://github.com/sowmi-kasthuri/my_first_repo,True,HTML,0,0,2020-08-01T07:22:56Z
skills-getting-started-with-github-copilot,sowmi-kasthuri/skills-getting-started-with-github-copilot,https://github.com/sowmi-kasthuri/skills-getting-started-with-github-copilot,False,JavaScript,0,0,2025-10-09T15:04:19Z
